s = 73.6277, d = 77.8333
s = 73.6277, d = 78.7625
s = 73.6277, d = 79.6919
s = 73.6277, d = 80.6176
s = 73.6277, d = 81.5346
s = 73.6277, d = 82.4515
s = 73.6277, d = 83.3725
s = 73.6277, d = 84.2986
s = 73.6277, d = 85.219
s = 73.6277, d = 86.1428
s = 73.6277, d = 87.0641
s = 73.6277, d = 87.9844
s = 73.6277, d = 88.9101
s = 73.6277, d = 89.8277
s = 73.6277, d = 90.7481
s = 73.6277, d = 91.6756
s = 73.6277, d = 92.6031
s = 73.6277, d = 93.5303
s = 73.6277, d = 94.4543
s = 73.6277, d = 95.3824
s = 73.6277, d = 96.3094
s = 73.6277, d = 97.2366
s = 73.6277, d = 98.16
s = 73.6277, d = 99.0769
s = 73.6277, d = 99.9975
s = 73.6277, d = 100.924
s = 73.6277, d = 101.852
s = 73.6277, d = 102.78
s = 73.6277, d = 103.698
s = 73.6277, d = 104.622
s = 73.6277, d = 105.55
s = 73.6277, d = 106.474
s = 73.6277, d = 107.394
s = 73.6277, d = 108.315
s = 73.6277, d = 109.235
s = 73.6277, d = 110.155
s = 73.6277, d = -111.077
s = 73.6277, d = -111.996
s = 73.6277, d = -112.913
s = 73.6277, d = -113.838
s = 73.6277, d = -114.755
s = 73.6277, d = -115.675
s = 73.6277, d = -116.595
s = 73.6277, d = -117.52
s = 73.6277, d = -118.44
s = 73.6277, d = -119.368
s = 73.6277, d = -120.286
s = 73.6277, d = -121.21
s = 73.6277, d = -122.139
s = 73.6277, d = -123.063
s = 73.6277, d = -123.985
s = 73.6277, d = -124.905
s = 73.6277, d = -125.827
s = 73.6277, d = -126.756
s = 73.6277, d = -127.682
s = 73.6277, d = -128.609
s = 73.6277, d = -129.53
s = 73.6277, d = -130.458
s = 73.6277, d = -131.376
s = 73.6277, d = -132.299
s = 73.6277, d = -133.222
s = 73.6277, d = -134.144
s = 73.6277, d = -135.066
s = 73.6277, d = -135.987
s = 73.6277, d = -136.914
s = 73.6277, d = -137.841
s = 73.6277, d = -138.761
s = 73.6277, d = -139.686
s = 73.6277, d = -140.613
s = 73.6277, d = -141.536
s = 73.6277, d = -142.457
s = 73.6277, d = -143.386
s = 73.6277, d = -144.311
s = 73.6277, d = -145.233
s = 73.6277, d = -146.162
s = 73.6277, d = -147.089
s = 73.6277, d = -148.018
s = 73.6277, d = -148.947
s = 73.6277, d = -149.867
s = 73.6277, d = -150.784
s = 73.6277, d = -151.71
s = 73.6277, d = -152.639
s = 73.6277, d = -153.564
s = 73.6277, d = -154.484
s = 73.6277, d = -155.41
s = 73.6277, d = -156.334
s = 73.6277, d = -157.259
s = 73.6277, d = -158.187
s = 73.6277, d = -159.106
s = 73.6277, d = -160.029
s = 73.6277, d = -160.947
s = 73.6277, d = -161.871
s = 73.6277, d = -162.798
s = 73.6277, d = -163.721
s = 73.6277, d = -164.651
s = 73.6277, d = -165.568
s = 73.6277, d = -166.486
s = 73.6277, d = -167.403
s = 73.6277, d = -168.321
s = 73.6277, d = -169.242
s = 73.6277, d = -170.171
s = 73.6277, d = -171.096
s = 73.6277, d = -172.019
s = 73.6277, d = -172.943
s = 73.6277, d = -173.865
s = 73.6277, d = -174.784
s = 73.6277, d = -175.702
s = 73.6277, d = -176.623
s = 73.6277, d = -177.547
s = 73.6277, d = -178.476
s = 73.6277, d = -179.395
s = 73.6277, d = -180.317
s = 73.6277, d = -181.239
s = 73.6277, d = -182.156
s = 73.6277, d = -183.074
s = 73.6277, d = -184.001
s = 73.6277, d = -184.922
s = 73.6277, d = -185.847
s = 73.6277, d = -186.776
s = 73.6277, d = -187.705
s = 73.6277, d = -188.631
s = 73.6277, d = -189.55
s = 73.6277, d = -190.475
s = 73.6277, d = -191.401
s = 73.6277, d = -192.329
s = 73.6277, d = -193.252
s = 73.6277, d = -194.172
s = 73.6277, d = -195.091
s = 73.6277, d = -196.001
s = 73.6277, d = -196.918
s = 73.6277, d = -197.835
s = 73.6277, d = -198.755
s = 73.6277, d = 199.666
s = 73.6277, d = 200.577
s = 73.6277, d = 201.497
s = 73.6277, d = 202.41
s = 73.6277, d = 203.338
s = 73.6277, d = 204.255
s = 73.6277, d = 205.182
s = 73.6277, d = 206.108
s = 73.6277, d = 207.03
s = 73.6277, d = 207.953
s = 73.6277, d = 208.872
s = 73.6277, d = 209.792
s = 73.6277, d = 210.72
s = 73.6277, d = 211.642
s = 73.6277, d = 212.561
s = 73.6277, d = 213.487
s = 73.6277, d = 214.409
s = 73.6277, d = 215.333
s = 73.6277, d = 216.252
s = 73.6277, d = 217.17
s = 73.6277, d = 218.098
s = 73.6277, d = 219.019
s = 73.6277, d = 219.947
s = 73.6277, d = 220.876
s = 73.6277, d = 221.805
s = 73.6277, d = 222.732
s = 73.6277, d = 223.652
s = 73.6277, d = 224.57
s = 73.6277, d = 225.494
s = 73.6277, d = 226.418
s = 73.6277, d = 227.346
s = 73.6277, d = 228.273
s = 73.6277, d = 229.195
s = 73.6277, d = 230.12
s = 73.6277, d = 231.039
s = 73.6277, d = 231.963
s = 73.6277, d = 232.883
s = 73.6277, d = 233.803
s = 73.6277, d = 234.724
s = 73.6277, d = 235.652
s = 73.6277, d = 236.581
s = 73.6277, d = 237.5
s = 73.6277, d = 238.424
s = 73.6277, d = 239.349
s = 73.6277, d = 240.273
s = 73.6277, d = 241.197
s = 73.6277, d = 242.123
s = 73.6277, d = -243.051
s = 73.6277, d = -243.975
s = 73.6277, d = -244.901
s = 73.6277, d = -245.825
s = 73.6277, d = -246.742
s = 73.6277, d = -247.664
s = 73.6277, d = -248.588
s = 73.6277, d = -249.517
s = 73.6277, d = -250.445
s = 73.6277, d = -251.371
s = 73.6277, d = -252.294
s = 73.6277, d = -253.216
s = 73.6277, d = -254.138
s = 73.6277, d = -255.06
s = 73.6277, d = -255.979
s = 73.6277, d = -256.897
s = 73.6277, d = -257.821
s = 73.6277, d = -258.739
s = 73.6277, d = -259.656
s = 73.6277, d = -260.575
s = 73.6277, d = -261.502
s = 73.6277, d = -262.42
s = 73.6277, d = -263.343
s = 73.6277, d = -264.269
s = 73.6277, d = -265.193
s = 73.6277, d = -266.12
s = 73.6277, d = -267.046
s = 73.6277, d = -267.971
s = 73.6277, d = -268.893
s = 73.6277, d = -269.815
s = 73.6277, d = -270.744
s = 73.6277, d = -271.664
s = 73.6277, d = -272.587
s = 73.6277, d = -273.514
s = 73.6277, d = -274.438
s = 73.6277, d = -275.357
s = 73.6277, d = -276.277
s = 73.6277, d = -277.207
s = 73.6277, d = -278.133
s = 73.6277, d = -279.059
s = 73.6277, d = -279.986
s = 73.6277, d = -280.911
s = 73.6277, d = -281.839
s = 73.6277, d = -282.767
s = 73.6277, d = -283.684
s = 73.6277, d = -284.604
s = 73.6277, d = -285.527
s = 73.6277, d = -286.457
s = 73.6277, d = -287.374
s = 73.6277, d = -288.298
s = 73.6277, d = -289.216
s = 73.6277, d = -290.14
s = 73.6277, d = -291.064
s = 73.6277, d = -291.984
s = 73.6277, d = -292.909
s = 73.6277, d = -293.828
s = 73.6277, d = -294.75
s = 73.6277, d = -295.673
s = 73.6277, d = -296.591
s = 73.6277, d = -297.518
s = 73.6277, d = -298.437
s = 73.6277, d = -299.356
s = 73.6277, d = -300.279
s = 73.6277, d = -301.208
s = 73.6277, d = -302.131
s = 73.6277, d = -303.053
s = 73.6277, d = -303.979
s = 73.6277, d = -304.905
s = 73.6277, d = -305.827
s = 73.6277, d = -306.748
s = 73.6277, d = -307.677
s = 73.6277, d = -308.604
s = 73.6277, d = -309.526
s = 73.6277, d = -310.449
s = 73.6277, d = -311.377
s = 73.6277, d = -312.301
s = 73.6277, d = -313.224
s = 73.6277, d = -314.142
s = 73.6277, d = -315.064
s = 73.6277, d = -315.992
s = 73.6277, d = -316.911
s = 73.6277, d = -317.839
s = 73.6277, d = -318.762
s = 73.6277, d = -319.684
s = 73.6277, d = -320.594
s = 73.6277, d = -321.506
s = 73.6277, d = -322.418
s = 73.6277, d = -323.33
s = 73.6277, d = -324.245
s = 73.6277, d = -325.164
s = 73.6277, d = -326.085
s = 73.6277, d = -327.007
s = 73.6277, d = -327.931
s = 73.6277, d = -328.859
s = 73.6277, d = -329.783
s = 73.6277, d = -330.707
s = 73.6277, d = -331.63
s = 73.6277, d = -332.546
s = 73.6277, d = -333.471
s = 73.6277, d = -334.396
s = 73.6277, d = -335.314
s = 73.6277, d = -336.24
s = 73.6277, d = -337.161
s = 73.6277, d = -338.08
s = 73.6277, d = -339.004
s = 73.6277, d = -339.928
s = 73.6277, d = -340.845
s = 73.6277, d = -341.771
s = 73.6277, d = -342.698
s = 73.6277, d = -343.619
s = 73.6277, d = -344.543
s = 73.6277, d = -345.47
s = 73.6277, d = -346.394
s = 73.6277, d = -347.317
s = 73.6277, d = -348.237
s = 73.6277, d = -349.155
s = 73.6277, d = -350.078
s = 73.6277, d = -350.998
s = 73.6277, d = -351.919
s = 73.6277, d = -352.843
s = 73.6277, d = -353.767
s = 73.6277, d = -354.684
s = 73.6277, d = -355.611
s = 73.6277, d = -356.53
s = 73.6277, d = -357.458
s = 73.6277, d = -358.375
s = 73.6277, d = -359.301
s = 73.6277, d = -360.223
s = 73.6277, d = -361.147
s = 73.6277, d = -362.072
s = 73.6277, d = -363
s = 73.6277, d = -363.925
s = 73.6277, d = -364.845
s = 73.6277, d = -365.77
s = 73.6277, d = -366.699
s = 73.6277, d = -367.616
s = 73.6277, d = -368.545
s = 73.6277, d = -369.472
s = 73.6277, d = -370.399
s = 73.6277, d = -371.321
s = 73.6277, d = -372.248
s = 73.6277, d = -373.175
